dataset,model,n_nlp_feats,n_num_feats,roc_auc_base,pr_auc_base,roc_auc_nlp,pr_auc_nlp,delta_base,delta_nlp,cost_base,cost_nlp,gain_pr_auc,gain_cost,tau_star_base,tau_star_nlp
paysim,XGB,66,2,0.9149131055546202,0.2299116627103757,0.9135248263565898,0.22750358793968087,0.7385,0.7382,34767.0,34804.0,-0.0024,-37.0,0.994,0.994
paysim,CatBoost,66,2,0.9194289781012067,0.22963119802885762,0.9217081227288764,0.2255301181987826,0.7414,0.7545,34739.0,35386.0,-0.0041,-647.0,0.989,0.919
