model,tau_fixed,cost_fixed,tau_linear,cost_linear,tau_log,cost_log
LR,0.999,202.0,0.884,2595.28,0.999,76.02008100360973
RF,0.139,192.0,0.013000000000000001,2789.03,0.367,65.29652487570854
XGB,0.861,197.0,0.001,2070.79,0.861,67.92510254934581
LGBM,1.0,1858.0,1.0,4212.210000000001,1.0,1756.3916563771108
CatBoost,0.782,231.0,0.505,3145.4599999999996,0.806,64.54154017579002
IF-Hybrid,0.096,201.0,0.003,1898.7900000000002,0.8220000000000001,61.020081003609725
