dataset,model,roc_auc,pr_auc,delta,miscalibrated,tau_star,tau_bayes,tau_gap,precision_1,recall_1,f1_1,tp,fp,fn,tn,expected_cost,cfn,cfp,seed
paysim,LR,0.8230738397353905,0.07530617103252055,0.8009967979695412,True,1.0,0.09090909090909091,0.9090909090909091,0.0,0.0,0.0,0,15,4254,1268255,42555.0,10.0,1.0,168
paysim,RF,0.6280245360236968,0.15899426417187346,0.6041668309100886,True,0.969,0.09090909090909091,0.878090909090909,0.8564273789649416,0.12059238363892807,0.2114156192046157,513,86,3741,1268184,37496.0,10.0,1.0,168
paysim,XGB,0.9149131055546202,0.2299116627103757,0.7385070541406482,True,0.994,0.09090909090909091,0.903090909090909,0.9321428571428572,0.18406205923836388,0.30742049469964666,783,57,3471,1268213,34767.0,10.0,1.0,168
paysim,LGBM,0.7016857702785527,0.007492450718397271,0.6725306254234388,True,1.0,0.09090909090909091,0.9090909090909091,0.00912479115794885,0.7176774800188058,0.018020464116964795,3053,331530,1201,936740,343540.0,10.0,1.0,168
paysim,DNN,0.9221794667568531,0.24727500518859516,0.8999554895915123,True,1.0,0.09090909090909091,0.9090909090909091,0.99609375,0.059943582510578276,0.1130820399113082,255,1,3999,1268269,39991.0,10.0,1.0,168
elliptic,LR,0.841863,0.17469,0.4025,True,0.673,0.0909,0.5821,0.1174,0.8834,0.2072,394,2963,52,5904,3483.0,10.0,1.0,168
elliptic,RF,0.841969,0.577305,0.0326,False,0.387,0.0909,0.2961,0.7117,0.5202,0.601,232,94,214,8773,2234.0,10.0,1.0,168
elliptic,XGB,0.843211,0.586212,0.0287,False,0.269,0.0909,0.1781,0.6334,0.5269,0.5753,235,136,211,8731,2246.0,10.0,1.0,168
elliptic,LGBM,0.873819,0.595493,0.0288,False,0.105,0.0909,0.0141,0.6071,0.5336,0.568,238,154,208,8713,2234.0,10.0,1.0,168
elliptic,CatBoost,0.877434,0.599085,0.0293,False,0.363,0.0909,0.2721,0.5448,0.5314,0.538,237,198,209,8669,2288.0,10.0,1.0,168
giveme,LR,0.824977,0.353789,0.4509,True,0.506,0.0909,0.4151,0.2535,0.6316,0.3618,1291,3801,753,24155,11331.0,10.0,1.0,168
giveme,RF,0.851527,0.372528,0.469,True,0.095,0.0909,0.0041,0.2419,0.7001,0.3595,1431,4485,613,23471,10615.0,10.0,1.0,168
giveme,XGB,0.858422,0.385316,0.4614,True,0.546,0.0909,0.4551,0.2726,0.6707,0.3877,1371,3658,673,24298,10388.0,10.0,1.0,168
giveme,LGBM,0.863312,0.40384,0.4577,True,0.571,0.0909,0.4801,0.2722,0.6742,0.3878,1378,3685,666,24271,10345.0,10.0,1.0,168
giveme,CatBoost,0.866765,0.410131,0.4525,True,0.566,0.0909,0.4751,0.2695,0.6937,0.3882,1418,3844,626,24112,10104.0,10.0,1.0,168
