dataset,model,n_nlp_feats,n_num_feats,roc_auc_base,pr_auc_base,roc_auc_nlp,pr_auc_nlp,delta_base,delta_nlp,cost_base,cost_nlp,gain_pr_auc,gain_cost,tau_star_base,tau_star_nlp
ieee_cis,XGB,67,431,0.8771681145669844,0.47451878084732135,0.8767341503189678,0.47985008333305823,0.3527,0.3453,23003.0,23319.0,0.0053,-316.0,0.526,0.483
ieee_cis,CatBoost,67,431,0.8792338708215808,0.46472755351650474,0.877600613794731,0.4660114654209728,0.3506,0.3503,22826.0,22902.0,0.0013,-76.0,0.558,0.5680000000000001
