model,delta,ECE_none,ECE_temperature,ECE_beta,cost_none,cost_temperature,cost_beta,flag_none,flag_temperature,flag_beta,tau_none,tau_temperature,tau_beta
LR,0.202,0.082,0.053,0.0,202.0,216.0,221.0,79,115,76,0.999,0.999,0.087
RF,0.197,0.001,0.0,0.0,192.0,192.0,192.0,80,80,80,0.139,0.08,0.072
XGB,0.192,0.0,0.0,0.0,197.0,197.0,197.0,63,63,63,0.861,0.805,0.363
LGBM,0.868,0.0,0.067,0.0,1858.0,750.0,750.0,1768,0,0,1.0,0.965,0.023
CatBoost,0.25,0.225,0.019,0.0,231.0,231.0,231.0,64,64,64,0.782,0.999,0.226
IF-Hybrid,0.193,0.0,0.0,0.0,201.0,201.0,200.0,78,78,77,0.096,0.146,0.048
